"id","DoE","Expenditure_name","Voteline","FundSource","PV_No","Amount"
"9","2020-12-19","Van Service Labour","10","Tution","0","1600.00"
"10","2020-12-21","Van Service Labour","10","CapitalInjection","0","2500.00"
"11","2020-12-21","Spare parts for service","10","CapitalInjection","0","4500.00"
"12","2020-12-22","Van Service Labour","10","CapitalInjection","0","2000.00"
"13","2020-12-20","Fence Construntion","8","Donation","0","2000.00"
"14","2020-12-21","Fence Construntion","8","Donation","0","2200.00"
"15","2020-12-22","Fence Construntion","8","Donation","0","1800.00"
"16","2020-12-22","Electricity repair and maintenance","8","CapitalInjection","0","3000.00"
"17","2020-12-22","KBG Fuel","10","CapitalInjection","0","1960.00"
"18","2020-12-22","KBZ fuel","10","CapitalInjection","0","2160.00"
"19","2020-12-22","Gate repair","8","CapitalInjection","0","6100.00"
"20","2020-12-21","Web Hosting Charges","14","CapitalInjection","0","1500.00"
"21","2020-12-19","Spare parts for service","10","CapitalInjection","0","17060.00"
"22","2020-12-23","cement, black oxide, binding  and Debt for dhardwahre","8","Donation","0","2100.00"
"23","2020-12-23","labourers","8","Donation","0","5080.00"
"24","2020-12-23","plumber","8","Donation","0","1050.00"
"25","2020-12-07","ECDE chairs (25 in number)","9","CapitalInjection","0","15000.00"
"26","2020-12-10","Battery for school vans KBG  and KBZ","10","CapitalInjection","0","13000.00"
"27","2020-12-24","Gate repair - welder","8","Donation","0","2000.00"
"28","2020-12-24","Fence Construction - labour","8","Donation","0","1400.00"
"29","2020-12-24","Hind Verandah repair - labour","8","Donation","0","2200.00"
"30","2020-12-24","Cement for construction","8","Donation","0","3900.00"
"31","2020-10-11","Sanitizer","5","Loan","0","500.00"
"32","2020-10-11","Mask 1 box","5","Loan","0","500.00"
"36","2020-10-11","Hand Washing Soap","5","Loan","0","525.00"
"37","2020-10-11","Cooking Oil 10 litres","6","Loan","0","1350.00"
"38","2020-10-11","Modem Bundle","14","Loan","0","1000.00"
"39","2020-10-11","Fundi - Van Wiring","10","Loan","0","3500.00"
"40","2020-10-11","Mechanic service","10","Loan","0","500.00"
"41","2020-10-11","Insurance KBG","10","Loan","0","5000.00"
"42","2020-10-11","Beans 5 tins","6","Loan","0","1250.00"
"43","2020-10-11","Green grams","6","Loan","0","1250.00"
"44","2020-10-11","maize 8 tins","6","Loan","0","640.00"
"45","2020-10-11","Kusaga","6","Loan","0","110.00"
"46","2020-10-11","Tomatoes","6","Loan","0","200.00"
"47","2020-10-11","Onions","6","Loan","0","100.00"
"48","2020-10-11","Milk 2 boxes","6","Loan","0","1000.00"
"49","2020-10-11","Sugar","6","Loan","0","1140.00"
"50","2020-10-11","Van Spare Parts","10","Loan","0","200.00"
"51","2020-10-11","Themo gun","5","Loan","0","5500.00"
"52","2020-10-12","Rice 25 kg","6","Lunch","0","1900.00"
"53","2020-10-14","Maize","6","Lunch","0","80.00"
"54","2020-10-14","Head teacher","15","Tution","0","500.00"
"55","2020-10-15","Brooms","5","Tution","0","50.00"
"56","2020-10-15","Cabbage","17","Lunch","0","50.00"
"57","2020-10-16","Text books for mathematics","7","BookLvy","0","1000.00"
"58","2020-10-19","Vegetable","6","Lunch","0","140.00"
"59","2020-10-19","panture repair","10","Transport","0","100.00"
"60","2020-10-19","Break Fliuds","10","Transport","0","300.00"
"61","2020-10-21","Bushes - KBG","10","Transport","0","400.00"
"62","2020-10-23","Fuel -KBG","10","Transport","0","2300.00"
"63","2020-10-23","Tomatoes","6","Lunch","0","200.00"
"64","2020-10-23","Onions","6","Lunch","0","100.00"
"65","2020-10-22","Printing Exams","11","Exam","0","200.00"
"67","2020-10-27","Kusaga","6","Lunch","0","50.00"
"68","2020-10-27","Vegetables","6","Lunch","0","140.00"
"69","2020-11-27","Break Pads","10","Transport","0","1500.00"
"70","2020-10-28","Break Fliuds","10","Transport","0","300.00"
"71","2020-10-30","Vegetables","6","Lunch","0","140.00"
"72","2020-10-30","Cabbage","6","Lunch","0","50.00"
"73","2020-10-31","Fuel","10","Transport","0","2300.00"
"74","2020-10-31","Tomatoes","6","Lunch","0","200.00"
"75","2020-10-31","Onions","6","Lunch","0","100.00"
"76","2020-10-31","Beans 5 tins","6","Lunch","0","1250.00"
"77","2020-10-31","Green grams 5 tins","6","Lunch","0","1150.00"
"78","2020-10-31","Milk 2 boxes","6","Lunch","0","1000.00"
"79","2020-11-02","Padlock","14","Tution","0","400.00"
"80","2020-11-04","Silicon, Break fliud Cluch kit, lights, Break pipe,","10","Transport","0","2300.00"
"81","2020-11-05","Vegetables","6","Lunch","0","140.00"
"82","2020-11-05","Bolt, silicon for door repair","14","Tution","0","600.00"
"83","2020-11-05","KBZ repair","10","Transport","0","400.00"
"84","2020-11-06","Puncture repair","10","Transport","0","200.00"
"85","2020-11-06","Cabbage","6","Lunch","0","50.00"
"86","2020-11-07","Fuel","10","Transport","0","2300.00"
"87","2020-11-07","Tomatoes and onions","6","Lunch","0","300.00"
"88","2020-11-10","Vegetables","6","Lunch","0","140.00"
"89","2020-11-11","Kusaga, Cabbage","6","Lunch","0","100.00"
"90","2020-11-13","Internet bundle","14","Tution","0","1000.00"
"91","2020-11-13","NHIF","1","Tution","0","900.00"
"92","2020-11-14","Fuel","10","Transport","0","2300.00"
"93","2020-11-14","Tomatoes and onions , rice(25kg), Sugar (6kg), green grams (5 tin), Beans(5tins)","6","Lunch","0","5100.00"
"94","2020-11-16","Vegetable and Milk","6","Lunch","0","1180.00"
"95","2020-11-19","KBG preassure","10","Transport","0","40.00"
"96","2020-11-20","Cabbage","6","Lunch","0","50.00"
"97","2020-11-20","Fuel","10","Transport","0","500.00"
"98","2020-11-21","Fuel","10","Transport","0","2300.00"
"99","2020-11-21","Vegetables  and inions","6","Lunch","0","300.00"
"100","2020-11-23","Vegetable","6","Lunch","0","140.00"
"101","2020-11-23","panture repair","10","Transport","0","100.00"
"102","2020-11-27","KBG Repair - Wiring","10","Transport","0","700.00"
"103","2020-11-28","Fuel","10","Transport","0","3000.00"
"104","2020-11-28","Sugar (6kg), tomatoes and Onions","6","Lunch","0","900.00"
"105","2020-11-30","Battery service","10","Transport","0","1250.00"
"106","2020-11-30","Vegetables","6","Lunch","0","140.00"
"108","2020-12-01","Flour","6","Lunch","0","450.00"
"109","2020-12-02","panture repair","10","Transport","0","40.00"
"111","2020-12-03","panture repair","10","Transport","0","250.00"
"112","2020-12-05","Fuel","10","Transport","0","2000.00"
"113","2020-12-05","Tomatoes, onions, Greegrams(5tins) beans(5tins)","6","Lunch","0","2600.00"
"114","2020-12-07","Veg, Maize,","6","Lunch","0","590.00"
"115","2020-12-07","panture repair","10","Transport","0","40.00"
"116","2020-12-09","Hand Washing Soap","5","Transport","0","350.00"
"117","2020-12-10","Police patrol- fine","10","Transport","0","500.00"
"118","2020-12-10","Sanitizer","5","Tution","0","300.00"
"119","2020-12-11","Drivers License - Maurice","1","Tution","0","700.00"
"120","2020-12-11","Exams","11","Exam","0","650.00"
"121","2020-12-13","Fuel","10","Transport","0","2000.00"
"122","2020-12-13","Tomatoes and onions","6","Lunch","0","300.00"
"123","2020-12-13","Drivers License - Maurice","1","Tution","0","150.00"
"124","2020-12-14","Transport Head Teacher","15","Tution","0","700.00"
"125","2020-12-14","Maize","6","Lunch","0","450.00"
"126","2020-12-14","Modem Bundle","14","Tution","0","1000.00"
"127","2020-12-15","NHIF","1","Tution","0","900.00"
"128","2020-12-16","Head teacher welfare","15","Tution","0","300.00"
"129","2020-12-16","Head teacher welfare","15","Tution","0","300.00"
"130","2020-12-16","CBC Training","15","Tution","0","2000.00"
"131","2020-12-18","Head teacher transport","15","Tution","0","700.00"
"132","2020-10-31","Salaries","1","Tution","0","18948.00"
"133","2020-11-30","Salaries for November 2020","1","Tution","0","30647.00"
"134","2020-12-18","accomodation","4","Tution","0","1800.00"
"135","2020-12-18","Construction (drawings )","8","Tution","0","1794.00"
"136","2020-10-11","Maize 40 tins","6","Loan","0","3200.00"
"137","2020-12-28","Plastering  of PP1  - labour","8","CapitalInjection","0","1400.00"
"138","2020-12-28","Fence Construntion - labour and nails","8","CapitalInjection","0","1250.00"
"139","2020-12-29","boda-- for bringing painst","8","CapitalInjection","0","200.00"
"140","2020-12-29","lime and black oxide","8","CapitalInjection","0","950.00"
"141","2020-12-29","Plaster for thePP2","8","CapitalInjection","0","1400.00"
"142","2020-12-29","Gate repair - labour","8","CapitalInjection","0","1400.00"
"143","2021-01-01","painter/sign writer","5","Tution","0","1500.00"
"144","2020-12-30","pavement construction - Labour","8","CapitalInjection","0","1900.00"
"145","2020-12-30","general maintenance","8","CapitalInjection","0","1400.00"
"146","2021-01-01","Paints","8","Tution","0","3200.00"
"147","2020-12-29","Paints","8","CapitalInjection","0","2100.00"
"148","2021-01-01","Compound Clearance","5","Tution","0","800.00"
"149","2021-01-01","Fence painting","5","CapitalInjection","0","1000.00"
"150","2021-01-01","Drainage Maintanance","5","CapitalInjection","0","1000.00"
"151","2021-01-02","flour for lunch programme","6","Lunch","0","170.00"
"152","2021-01-02","vegetables","6","Lunch","0","200.00"
"153","2021-01-02","spare part","10","Transport","0","700.00"
"154","2021-01-02","transport to Gita  for training ( Josphine)","15","Transport","0","230.00"
"155","2021-01-02","Spare part for KbG","10","Transport","0","700.00"
"156","2021-01-03","Fuel KBG","10","Transport","0","3000.00"
"157","2021-01-02","Kitchen items","6","Lunch","0","9885.00"
"158","2021-01-02","Tomatoes and onions","6","Lunch","0","550.00"
"159","2021-01-02","Beans and green Grams","6","Lunch","0","1200.00"
"162","2021-01-04","Driver Morris bought diesel 40ltrs","10","Transport","0","3720.00"
"163","2021-01-04","Penina money for grinding maize","6","Lunch","0","120.00"
"164","2021-01-04","Bought Sodas for the Visitors 3 @ 50","4","Tution","0","150.00"
"165","2021-01-04","Salary Advance for Tr. Everline Akinyi","1","Tution","0","5000.00"
"166","2021-01-04","Insurance for KBG, KBZ 5000 each","10","Transport","0","10000.00"
"168","2021-01-04","send off  for baba","4","Transport","0","1000.00"
"169","2021-01-04","construction materials","8","Tution","0","13950.00"
"171","2021-01-05","Treatment for Manager","4","Tution","0","16000.00"
"172","2021-01-05","Airtime and internet","14","Tution","0","2000.00"
"174","2021-01-06","December Salaries","1","Tution","0","26797.00"
"175","2021-01-06","Salary Advance given to Mr. Owino","1","Tution","0","1000.00"
"176","2021-01-06","Treatment for Manager","4","Tution","0","8100.00"
"177","2021-01-06","NHIF","12","Tution","0","2600.00"
"178","2021-01-06","Sercurity Guard","1","Tution","0","6500.00"
"181","2021-01-06","Peninah money for grinding","6","Lunch","0","90.00"
"182","2021-01-06","Spare parts  for Vans","10","Transport","0","3900.00"
"183","2021-01-06","Wiring for KBK","10","Transport","0","1500.00"
"184","2021-01-06","Treatment for Manager","4","Tution","0","5250.00"
"185","2021-01-07","Fuel","10","Transport","0","1900.00"
"187","2021-01-08","Spring KBG","10","Transport","0","1200.00"
"188","2021-01-08","Body repair,  mechanic labour","10","Transport","0","2700.00"
"190","2021-01-08","Fuel KBG","10","Transport","0","1000.00"
"191","2021-01-08","Drawing for house use - manager","4","Tution","0","1750.00"
"192","2021-01-08","Fuel for week 2","10","Transport","0","7400.00"
"193","2021-01-09","2 buckets","6","Lunch","0","600.00"
"194","2021-01-09","Body service and washing","10","Transport","0","1700.00"
"195","2021-01-09","Rice 50kg","6","Lunch","0","3900.00"
"196","2021-01-09","Beans 20 tons and green grams  10 tins","6","Lunch","0","6400.00"
"198","2021-01-09","Tomatoes and onions","6","Lunch","0","500.00"
"199","2021-01-09","Cuel and carwash during s school purchases","6","Lunch","0","1200.00"
"200","2021-01-09","Brooms","5","Tution","0","370.00"
"201","2021-01-09","School phone and airtime","16","Tution","0","2000.00"
"204","2021-01-09","Padlocks","16","Tution","0","2250.00"
"205","2021-01-09","Fuel","10","Transport","0","1850.00"
"206","2021-01-09","Springs KBG 1st 2and & 3rd","10","Transport","0","3550.00"
"207","2021-01-11","Store construction","8","Tution","0","3600.00"
"208","2021-01-11","Mechanic for KBK","10","Transport","0","1000.00"
"209","2021-01-12","Speed governor for KBG","10","Transport","0","15650.00"
"211","2021-01-12","Mechanics for KBK","10","Transport","0","200.00"
"212","2021-01-12","Maize","6","Lunch","0","3750.00"
"214","2021-01-14","Mechanics labour KBK","10","Transport","0","1000.00"
"215","2021-01-14","Pressure plate  KBK","10","Transport","0","6500.00"
"216","2021-01-14","Airtime and internet","16","Tution","0","1200.00"
"218","2021-01-14","Fuel for week 3","10","Transport","0","9589.00"
"219","2021-01-16","KBG inspection booking","10","Transport","0","1350.00"
"220","2021-01-16","Drawing - KBW insuarance","4","Tution","0","5000.00"
"221","2021-01-16","KBG spares - battery cable","10","Transport","0","4600.00"
"222","2021-01-15","Seats - materials","10","Transport","0","19000.00"
"223","2021-01-15","Seats Labour","10","Transport","0","6300.00"
"224","2021-01-15","Store Cosntruction","8","Tution","0","1500.00"
"225","2021-01-15","Presure KBZ","10","Transport","0","100.00"
"226","2021-01-15","Salary Advance Niocholus and mourice","1","Tution","0","2000.00"
"227","2021-01-15","Vegetables","6","Lunch","0","600.00"
"228","2021-01-14","Zonal fee","12","Tution","0","1000.00"
"229","2021-01-14","Fare H/T to meeting at zonal level","15","Tution","0","200.00"
"230","2021-01-14","Cabage and potatoes","6","Lunch","0","200.00"
"231","2021-01-12","Kusaga","6","Lunch","0","160.00"
"233","2021-01-18","Charcoal for managers house use","4","Tution","0","1500.00"
"234","2021-01-18","Mechanic","10","Transport","0","500.00"
"235","2021-01-18","School Supplies","16","Tution","0","4000.00"
"236","2021-01-18","Kusiaga mahindi","6","Lunch","0","200.00"
"237","2021-01-18","Dir Diaries","12","Tution","0","200.00"
"238","2021-01-19","inspection officer","10","Transport","0","3000.00"
"239","2021-01-19","Universal KBG","10","Transport","0","1200.00"
"240","2021-01-19","Seat Belt KBG","10","Transport","0","1400.00"
"241","2021-01-19","KBG repair -wiring","10","Transport","0","2100.00"
"242","2021-01-17","KBG repair","10","Transport","0","4000.00"
"243","2021-01-18","KBZ acc Compensat","10","Transport","0","1000.00"
"244","2021-01-20","Firewood","6","Lunch","0","1600.00"
"245","2021-01-18","Printing Exams","11","Exam","0","40000.00"
"246","2021-01-18","Printing paper for exams","11","Exam","0","380.00"
"247","2021-01-18","Diaries","16","Activity","0","3800.00"
"248","2021-01-21","Fuel KBZ, KBG.KBK","10","Transport","0","9900.00"
"249","2021-01-21","UFN Loan Repayment","17","Tution","0","6000.00"
"250","2021-01-24","Welding and oil form KBZ and KBG","10","Transport","0","900.00"
"251","2021-01-23","Fuel KBK","10","Transport","0","500.00"
"252","2021-01-22","Spring KBZ","10","Transport","0","5700.00"
"253","2021-01-22","Sugar rice  milk and oil","6","Lunch","0","9160.00"
"254","2021-01-22","Sugar rice  milk and oil","6","Lunch","0","9160.00"
"255","2021-01-21","Firewood","6","Lunch","0","4000.00"
"256","2021-01-25","Grains (green grams, red beans, priton , millet, cassava)","6","Lunch","0","15000.00"
"257","2021-01-25","KBK Payment to Jared","10","Transport","0","5000.00"
"258","2021-01-25","KBK payment - Stearing Rack repair","10","Transport","0","2700.00"
"259","2021-01-25","Fuel KBK","10","Transport","0","1500.00"
"260","2021-01-22","Fuel KBZ","10","Transport","0","1000.00"
"262","2021-01-25","Tomatoes and onions","6","Lunch","0","500.00"
"263","2021-01-27","Jawire KBK relay","10","Transport","0","1000.00"
"264","2021-01-27","Inspectorate token kisumu county","12","Tution","0","1000.00"
"265","2021-01-27","Link KBK","10","Transport","0","700.00"
"266","2021-01-27","Drawing -fuel, alarm for KBW- directors personal car","4","BookLvy","0","1400.00"
"267","2021-01-27","Drawing lunch","4","Tution","0","210.00"
"268","2021-01-27","Arm KBK-fare","10","Transport","0","200.00"
"269","2021-01-30","Bank Loan Repayment","17","Tution","0","82000.00"
"270","2021-01-30","Monthly Bank Charges","12","Tution","0","1050.00"
"271","2021-01-31","Fuel for week 5","10","Transport","0","9700.00"
"272","2021-01-29","Bold, Bush, washer for stabilizer KBK (Okello)","10","Transport","0","1000.00"
"273","2020-12-22","Directors (quantified) payments for services offered during construction of store","8","Others","0","1150.00"
"274","2021-02-02","Salary for January","1","Tution","0","105000.00"
"275","2021-02-03","Medication for Manager","4","Tution","0","7500.00"
"276","2021-02-04","Night Guard","1","Tution","0","6500.00"
"277","2021-02-04","Electricity and Water bills","12","Tution","0","5000.00"
"278","2021-02-04","Payment for van hire","10","Transport","0","17500.00"
"279","2021-01-19","Puncture KBZ","10","Transport","0","300.00"
"280","2021-01-19","Transport & Repair KBK","10","Transport","0","400.00"
"281","2021-01-19","Inspection KBG","10","Transport","0","2000.00"
"282","2021-01-19","Tomatoes","6","Lunch","0","50.00"
"283","2021-01-19","Pombo -  Nails","8","Others","0","100.00"
"284","2021-01-20","Preassure KBK","10","Transport","0","40.00"
"285","2021-01-20","Transport Firewood","6","Lunch","0","150.00"
"286","2021-01-20","Kusiaga","6","Lunch","0","20.00"
"287","2021-01-20","Liquid soap","5","Others","0","350.00"
"288","2021-01-21","Kusiaga","6","Lunch","0","60.00"
"289","2021-01-21","Waru & Cabbage","6","Loan","0","200.00"
"290","2021-01-21","Printing papers","16","Tution","0","370.00"
"291","2021-01-22","Salt","6","Lunch","0","20.00"
"292","2021-01-21","Payment of new cook","6","Lunch","0","200.00"
"293","2021-01-25","Tomatoes, Onions & Kusiaga","6","Lunch","0","170.00"
"295","2021-01-25","Tomatoes & Onions","6","Lunch","0","500.00"
"296","2021-01-25","Flagyl","16","Tution","0","200.00"
"297","2021-01-25","Repair KBK","10","Transport","0","1000.00"
"298","2021-01-25","Bal","16","Tution","0","40.00"
"299","2021-01-25","Photocopying Services","16","Others","0","750.00"
"300","2021-01-25","Vegetables","6","Loan","0","600.00"
"301","2021-01-25","Preassure KBG","10","Transport","0","10.00"
"302","2021-01-26","Payment of new cook","6","Lunch","0","200.00"
"303","2021-01-26","Salt","6","Loan","0","20.00"
"304","2021-01-04","Airtime & Puncture KBZ","10","Transport","0","300.00"
"305","2021-01-27","Peninah (Nyamalo) Health Certificate","5","Lunch","0","500.00"
"306","2021-01-28","Salt","6","Loan","0","20.00"
"307","2021-01-28","Ercah Health Certificate","5","Lunch","0","780.00"
"308","2021-01-28","Waru & Cabbage","6","Lunch","0","200.00"
"309","2021-01-29","Van / Car Wash KBG & KBK","10","Lunch","0","200.00"
"310","2021-01-29","Sodas","6","Lunch","0","100.00"
"311","2021-01-29","Payment of new cook","6","Lunch","0","200.00"
"312","2021-01-29","Kusiaga","6","Lunch","0","110.00"
"313","2021-01-29","Vegetables","6","Lunch","0","600.00"
"314","2021-02-01","Pressure KBK","10","Transport","0","40.00"
"315","2021-02-01","Tomatoes, Onions & Salt","6","Lunch","0","90.00"
"316","2021-02-01","Battery For Thermo-gun","14","Tution","0","50.00"
"317","2021-02-02","Salary Payment to Driver Luke Ouma","1","Tution","0","4825.00"
"318","2021-02-02","Exercise Books","12","BookLvy","0","1000.00"
"320","2021-02-02","Salt","6","Lunch","0","100.00"
"322","2021-02-02","Tomatoes & Onions","6","Lunch","0","500.00"
"323","2021-02-02","Rice 25Kg","6","Lunch","0","2200.00"
"324","2021-02-02","Repair Puncture- Tyres - Transport","10","Transport","0","150.00"
"325","2021-02-02","Salt & Onions","6","Lunch","0","70.00"
"326","2021-02-03","Kusiaga","6","Lunch","0","50.00"
"327","2021-02-03","Power Steering Oil, A+F Oil, Break Fluid & Transport","10","Transport","0","1200.00"
"328","2021-02-03","Late Payment Salary to Tr. Winnie Okoto","1","Tution","0","2850.00"
"329","2021-02-04","Cabbage & Waru, Jug, Cooking Stick & Vegetables","6","Lunch","0","600.00"
"330","2021-02-03","Fare to Secretary","10","Transport","0","50.00"
"332","2021-02-06","Maize 1 sack, tomatoes, onion","6","Lunch","0","3500.00"
"333","2021-02-08","KBK - spring","10","Tution","0","5500.00"
"334","2021-02-09","NHIF","1","Tution","0","5400.00"
"335","2021-02-09","NSSF","1","Tution","0","7900.00"
"336","2021-02-05","H/T fare to Obwolo","10","Transport","0","100.00"
"337","2021-02-05","Van / Car Wash KBG & KBK","10","Transport","0","200.00"
"338","2021-02-05","Salary Advance to Phyllis ( will be refunded)","1","Tution","0","5000.00"
"339","2021-02-05","Refund to Madam- Puncture Repair","10","Transport","0","300.00"
"340","2021-02-08","Kusiaga","6","Lunch","0","100.00"
"341","2021-02-08","Preassure KBG","10","Lunch","0","10.00"
"342","2021-02-08","Liquid Soap","5","Lunch","0","300.00"
"343","2021-02-08","Data Bundles","14","Tution","0","1000.00"
"344","2021-02-09","Maize 66 Tins","6","Lunch","0","4950.00"
"345","2021-02-09","Salary advance to Ercah","1","Tution","0","500.00"
"347","2021-02-10","Kusiaga & Salt","6","Lunch","0","130.00"
"348","2021-02-10","Transport To Town, Transport to repair KBK","10","Transport","0","250.00"
"349","2021-02-10","Flagyl","14","Tution","0","270.00"
"351","2021-02-10","Vouchers","16","Tution","0","250.00"
"352","2021-02-10","Chalks","16","Tution","0","800.00"
"353","2021-02-13","Door Welding deposit","8","BookLvy","0","6000.00"
"354","2021-02-13","Rice","6","Lunch","0","10200.00"
"355","2021-02-13","Tomatoes and onions","6","Lunch","0","600.00"
"356","2021-02-13","Fuel","10","Transport","0","9700.00"
"357","2021-02-13","UFN loan Tepayment","17","Tution","0","5200.00"
"358","2021-02-13","Transport of rice (KBW fuel)","6","Lunch","0","1000.00"
"359","2021-02-13","Share contributions UFN","4","Activity","0","800.00"
"360","2021-02-11","Fare Ercah - pupil","10","Transport","0","70.00"
"361","2021-02-11","Waru & Cabbage","6","Lunch","0","200.00"
"362","2021-02-12","Puncture Repair 3 Tyres","10","Transport","0","500.00"
"363","2021-02-12","Vegetables","6","Lunch","0","600.00"
"364","2021-02-12","Van / Car Wash KBG & KBK","10","Lunch","0","200.00"
"365","2021-02-15","Kusiaga","6","Lunch","0","50.00"
"366","2021-02-15","Advance Salary to H/T Mr. Owino","1","Tution","0","1000.00"
"367","2021-02-15","Advance Salary to Driver Luke Ouma","1","Tution","0","3000.00"
"368","2021-02-16","Exc books & A4 books","16","BookLvy","0","1435.00"
"369","2021-02-16","Bar Soap 1 Carton","5","Lunch","0","1000.00"
"370","2021-02-16","Plates 60pcs","6","Lunch","0","1200.00"
"372","2021-02-16","Exams pp1, pp2, G4","11","Exam","0","3725.00"
"373","2021-02-16","Dawa Ya Panya","14","Tution","0","200.00"
"374","2021-02-16","Fare to town","10","Transport","0","200.00"
"375","2021-02-16","Engiene Oil KBK","10","Transport","0","300.00"
"376","2021-02-16","Fare","10","Transport","0","100.00"
"377","2021-02-16","Kusiaga","6","Lunch","0","60.00"
"378","2021-02-16","Salary Advance to Maurice Ouma","1","Tution","0","1000.00"
"379","2021-02-17","Kusiaga","6","Lunch","0","50.00"
"380","2021-02-17","Alignment and Door Repair","10","Transport","0","1000.00"
